id,name,rating,reviews,bathrooms,beds,guests,toilets,bedrooms,studios,checkin,checkout,host_id,country,family_suitability,price_fix,safety,natural_condition,work_suitability
11976723,Superior Room Private Balcony Sunrise & Stars 405,4,19,1,1,2,0,1,0,2,2,9985586.0,Nepal,1,76.0,1,1,1
15260191,Yangsum Heritage Farm,4,5,8,8,16,0,8,0,1,2,97067410.0,India,2,152.0,1,0,0
34177096,Sidho-aadesh. The Blue Room with 100mbps net,5,22,1,1,2,0,1,0,3,0,67617715.0,India,0,53.0,3,0,2
603320540284198987,Bedla house-Two room  apartment with a  terrace,0,1,2,2,6,0,2,0,2,1,162363077.0,India,2,185.0,1,0,3
28470352,"Luxury AC room spacious balcony, breakfast inclded",4,25,1,1,3,0,1,0,2,1,1979285.0,India,1,95.0,3,0,2
634677434212150872,One Room-Hidden Gem Cottage in the Woods Pahalgam,0,1,1,1,2,0,1,0,0,0,143528614.0,India,0,152.0,1,0,1
2357695,Namaste in  Binu's Eco Homestay,4,50,1,3,3,0,1,0,0,0,12041235.0,Nepal,2,30.0,1,0,1
599238439199785995,"Bed & Breakfast.  Free-wifi, 24/7 hot&cold water",0,0,5,2,2,0,5,0,3,1,452970277.0,India,2,57.0,3,0,2
52653078,PRIVATE ROOM 2 NGODRUB KHANGSAR HOMESTAY,0,1,1,1,3,0,1,0,0,2,36687850.0,India,1,170.0,2,0,2
17165025,Laxmi Garden Beach Resort Homestay ( 102),4,18,1,1,5,0,1,0,1,1,84655978.0,India,2,84.0,2,0,2
45379700,Shree Holidays - Tasty meals & serenity of nature,0,2,1,2,4,0,1,0,1,1,190511321.0,India,1,92.0,1,0,0
15229295,"Jaisalmer The ""Thharkka (Prestige)",5,17,1,1,2,0,1,0,2,1,4987764.0,India,3,133.0,1,0,1
33651342,B&B in a historic Coastal village- with AC & WiFi,4,9,1,1,3,0,1,0,2,1,253609214.0,India,1,93.0,1,0,2
8363221,Adam Tribe “Off Grid Homestay”,4,28,2,5,9,0,4,0,3,2,10823511.0,Nepal,2,137.0,1,0,1
